entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
6,colima,media superior,193554,92020,101534,24158,29025,53183,9698,9255,18953,0.7374701151923495,0.7141351665451967,0.725229135021751,0.5116868041998628,0.48831319580013716,0.47542287940316397,0.524577120596836
6,colima,preescolar,135802,68542,67260,0,0,0,128,7138,7266,1.0,1.0,1.0,0.017616295072942472,0.9823837049270575,0.5047201072149158,0.49527989278508416
6,colima,primaria,433045,220803,212242,0,0,0,5015,13938,18953,1.0,1.0,1.0,0.2646019099878647,0.7353980900121353,0.5098846540197901,0.4901153459802099
6,colima,secundaria,207844,105068,102776,30790,31739,62529,4791,7053,11844,0.70695168843035,0.6911827664046081,0.6991541733222995,0.4045086119554205,0.5954913880445796,0.5055137506976386,0.4944862493023614
7,chiapas,inicial,39161,19887,19274,0,0,0,247,1622,1869,1.0,1.0,1.0,0.13215623327982878,0.8678437667201712,0.5078266642833431,0.4921733357166569
7,chiapas,media superior,1287501,649007,638494,181761,181551,363312,51239,35786,87025,0.7199398465655995,0.7156574689816976,0.717816141502026,0.5887848319448434,0.41121516805515657,0.5040827152755609,0.495917284724439
7,chiapas,preescolar,1736935,872613,864322,0,0,0,5873,53534,59407,1.0,1.0,1.0,0.0988604036561348,0.9011395963438652,0.502386675379332,0.49761332462066804
7,chiapas,primaria,4764020,2417059,2346961,0,0,0,78066,85770,163836,1.0,1.0,1.0,0.476488683805757,0.5235113161942431,0.5073570220108228,0.4926429779891772
7,chiapas,secundaria,1790846,918551,872295,274744,265198,539942,35669,34518,70187,0.7008941256391861,0.6959767051284256,0.6984989217386643,0.5081995241283999,0.49180047587160014,0.512914566634987,0.487085433365013
8,chihuahua,inicial,57906,29818,28088,0,0,0,1,1337,1338,1.0,1.0,1.0,0.0007473841554559044,0.9992526158445441,0.5149380029703312,0.4850619970296688
8,chihuahua,media superior,947986,448253,499733,106294,131217,237511,32188,35461,67649,0.7628705217812262,0.7374257853693873,0.7494572704660196,0.4758089550473769,0.5241910449526231,0.4728477002824936,0.5271522997175063
8,chihuahua,preescolar,680788,341775,339013,0,0,0,634,26635,27269,1.0,1.0,1.0,0.023249844145366533,0.9767501558546334,0.5020285316427434,0.4979714683572566
8,chihuahua,primaria,2448311,1245369,1202942,0,0,0,21884,71558,93442,1.0,1.0,1.0,0.23419875430748485,0.7658012456925152,0.5086645446595632,0.4913354553404367
8,chihuahua,secundaria,1129884,566427,563457,166371,173746,340117,18215,29342,47557,0.70627989131874,0.69164284053619,0.6989806033185708,0.38301406732973065,0.6169859326702694,0.5013142942107331,0.49868570578926685
9,ciudad de méxico,inicial,96902,50407,46495,0,0,0,7,4121,4128,1.0,1.0,1.0,0.001695736434108527,0.9983042635658915,0.5201853418918082,0.4798146581081918
9,ciudad de méxico,media superior,3796019,1753547,2042472,357535,433039,790574,119941,124697,244638,0.7961075465898547,0.7879828952367524,0.7917360266110365,0.4902795150385468,0.5097204849614533,0.4619436836327742,0.5380563163672257
9,ciudad de méxico,preescolar,1342797,673746,669051,0,0,0,839,73474,74313,1.0,1.0,1.0,0.011290083834591525,0.9887099161654085,0.5017482165956582,0.49825178340434184
9,ciudad de méxico,primaria,4527013,2294603,2232410,0,0,0,29032,156994,186026,1.0,1.0,1.0,0.15606420607872018,0.8439357939212798,0.5068690988958945,0.4931309011041055
9,ciudad de méxico,secundaria,2522309,1273583,1248726,408224,409319,817543,44593,70358,114951,0.6794680833522433,0.6722107171629325,0.6758751604184896,0.38793050952144825,0.6120694904785517,0.5049274295893168,0.49507257041068325
10,durango,inicial,28611,14742,13869,0,0,0,87,920,1007,1.0,1.0,1.0,0.08639523336643495,0.913604766633565,0.5152563699276502,0.4847436300723498
10,durango,media superior,477785,228064,249721,55440,67376,122816,22673,18510,41183,0.7569103409569243,0.7301948975056163,0.7429471414966984,0.5505426996576257,0.4494573003423743,0.4773360402691587,0.5226639597308412
10,durango,preescolar,397774,201720,196054,0,0,0,1032,19372,20404,1.0,1.0,1.0,0.05057831797686728,0.9494216820231327,0.5071221346794914,0.49287786532050865
10,durango,primaria,1289239,657286,631953,0,0,0,19367,35783,55150,1.0,1.0,1.0,0.35116953762466,0.64883046237534,0.5098247881114363,0.4901752118885637
10,durango,secundaria,579050,290687,288363,83957,87104,171061,14304,14607,28911,0.7111773144309859,0.6979362817004955,0.7045833693118038,0.49475978001452736,0.5052402199854726,0.5020067351696744,0.4979932648303255
